astro.ph.	astro-ph
cond.mat.	cond-mat
cs.......	cs
gr.qc....	gr-qc
hep.ex...	hep-ex
hep.lat..	hep-lat
hep.ph...	hep-ph
hep.th...	hep-th
mat.ph...	mat-ph
math.....	math
math.ph..	math-ph
nlin.....	nlin
nucl.ex..	nuc-ex
nucl.ex..	nucl-ex
nucl.th..	nucl-th
physics..	physics
q.bio....	q-bio
quant.ph.	quant-ph
alg.geom.	alg-geom
comp.gas.	comp-gas
solv.int.	solv-int
