csss.conf	COOL STARS STELL.SYST.&SUN: 2D CAMBRIDGE OCT1981:1,
csss....1	In Cool Stars, Stellar Systems, and the Sun, ed. AK Dupree
csss....6	Cool Stars, Stellar Systems and the Sun, ed. G. Wallerstein
ctdm.conf	CURR.TECH.DOUBLE&MULT.STAR RESEARCH: IAU: COLL62
cto..conf	CEPHEIDS: THEORY&OBS.:IAU COLL.82: TORONTO 84JUN
cvro.conf	CATACLYS.VARIAB.&REL.OBJECTS: IAU.COLL72 - HAIFA
daan.work	DATA ANALYSIS WORKSHOP - 2ND ESO.ST-ECF GARCHING
daan.work	DATA ANALYSIS WORKSHOP - 3RD ESO/ST-ECF GARCHING
daan.work	DATA ANALYSIS WORKSHOP - 4TH ESO/ST-ECF GARCHING
daan.work	ESO/ST-ECF DATA ANALYSIS WORKSHOP:1ST: GARCHING
daia.conf	DATA ANALYSIS IN ASTRONOMY - IV
dir..conf	DIGITAL IMAGE RESTORATION
dli..conf	DIFFRACTION-LIMIT.IMAGING/ VERY LARGE TELESCOPES
dmig.conf	DIFFUSE MATTER / GALAXIES: NATO: CARGESE,ITALY:82
dmig.conf	DIFFUSE MATTER IN GALAXIES: CARGESE:SEP82
dmiu.conf	DARK MATTER IN THE UNIVERSE
dmsu.conf	DARK MATTER AND THE STRUCTURE OF THE UNIVERSE
dodg.conf	DYNAMICS OF DISC GALAXIES: VARBERG CASTLE SWEDEN
dssp.conf	DYNAMICS & STRUCTURE/SOLAR PROMINENCES: MALLORCA
dwga.work	ESO/ESA WORKSHOP / DWARF GALAXIES - GENEVA -1980
eamb.conf	EJECTION AND ACCRETION OF MATTER IN BINARY SYST.
eas..conf	ENGINEERING AND SCIENCE
eas..conf	ENGINEERING AND SCIENCE / CALTECH
ebas.conf	EXCIT.&BROADENING ATOM.SPECT.ASTROPHYS. INTEREST
eds..conf	ELASTIC AND DIFFRACTIVE SCATTERING: 2ND BLOIS
egm..work	EXTRAGALACTIC MOLECULES: WORKSHOP GREENBANK 1982
egsp.conf	The Evolution of Galaxies and Stellar Populations, ed. Tinsley, Larson
egte.conf	The Environment and Evolution of Galaxies, edited by I. M. Shull and H. A. Thronson
ehac....1	20th ESLAB Symp., ESA SP-250, Vol. 1
ehac....2	20th ESLAB Symp., ESA SP-250, Vol. 2
eitu.conf	EVOLUTION IN THE UNIVERSE: ESO: GARCHING 1981MAY
eiu..conf	ELEMENTS / ISOTOPES / UNIVERSE - LIEGE - JUN1979
emls.conf	EFFECTS MASS LOSS STELL.EVOLUTION IAU COLL59 1981
ena..conf	ESSAYS IN NUCLEAR ASTROPHYSICS: WILLIAM FOWLER
eora.work	WORKSHOP S.P.S. - EFF. OPT. RADIO ASTR. MAY1980
eora.work	WORKSHOP SPS - EFFECTS OPT.&RADIO ASTR. MAY1980
epos.conf	ENERGETIC PHENOMENA ON THE SUN - 1986-1984 GSFC
epos.conf	ENERGETIC PHENOMENA ON THE SUN: 1986-1984 GSFC
