"241"	"ntilde"	"n"	"\~{n}"	L
"242"	"ograve"	"o"	"\`{o}"	L
"243"	"oacute"	"o"	"\'{o}"	L
"244"	"ocirc"	"o"	"\^{o}"	L
"245"	"otilde"	"o"	"\~{o}"	L
"246"	"ouml"	"oe"	"\"{o}"	L
"247"	"divide"	"/"	"$\div$"	P
"248"	"oslash"	"o"	"\o"	L
"249"	"ugrave"	"u"	"\`{u}"	L
"250"	"uacute"	"u"	"\'{u}"	L
"251"	"ucirc"	"u"	"\^{u}"	L
"252"	"uuml"	"ue"	"\"{u}"	L
"253"	"yacute"	"y"	"\'{y}"	L
"254"	"thorn"	"p"	"p"	L
"255"	"yuml"	"y"	"\"{y}"	L
"256"	"Amacr"	"A"	"\={A}"	U
"257"	"amacr"	"a"	"\={a}"	L
"258"	"Abreve"	"A"	"\u{A}"	U
"259"	"abreve"	"a"	"\u{a}"	L
"260"	"Aogon"	"A"	"\c{A}"	U
"261"	"aogon"	"a"	"\c{a}"	L
"262"	"Cacute"	"C"	"\'{C}"	U
"263"	"cacute"	"c"	"\'{c}"	L
"264"	"Ccirc"	"C"	"\^{C}"	U
"265"	"ccirc"	"c"	"\^{c}"	L
"266"	"Cdot"	"C"	"\.{C}"	U
"267"	"cdot"	"c"	"\.{c}"	L
"268"	"Ccaron"	"C"	"\v{C}"	U
"269"	"ccaron"	"c"	"\v{c}"	L
"270"	"Dcaron"	"D"	"\v{D}"	U
"271"	"dcaron"	"d"	"\v{d}"	L
"272"	"Dstrok"	"D"	"\D"	U
"273"	"dstrok"	"d"	"\d"	L
"274"	"Emacr"	"E"	"\={E}"	U
"275"	"emacr"	"e"	"\={e}"	L
"276"	"Ebreve"	"E"	"\u{E}"	U
"277"	"ebreve"	"e"	"\u{e}"	L
"278"	"Edot"	"E"	"\.{E}"	U
"279"	"edot"	"e"	"\.{e}"	L
"280"	"Eogon"	"E"	"\c{E}"	U
"281"	"eogon"	"e"	"\c{e}"	L
"282"	"Ecaron"	"E"	"\v{E}"	U
"283"	"ecaron"	"e"	"\v{e}"	L
"284"	"Gcirc"	"G"	"\^{G}"	U
"285"	"gcirc"	"g"	"\^{g}"	L
"286"	"Gbreve"	"G"	"\u{G}"	U
"287"	"gbreve"	"g"	"\u{g}"	L
"288"	"Gdot"	"G"	"\.{G}"	U
"289"	"gdot"	"g"	"\.{g}"	L
"290"	"Gcedil"	"G"	"\c{G}"	U
"291"	"gcedil"	"g"	"\c{g}"	L
"292"	"Hcirc"	"H"	"\^{H}"	U
"293"	"hcirc"	"h"	"\^{h}"	L
"294"	"Hstrok"	"H"	"\H"	U
"295"	"hstrok"	"h"	"\h"	L
"296"	"Itilde"	"I"	"\~{I}"	U
"297"	"itilde"	"i"	"\~{i}"	L
"298"	"Imacr"	"I"	"\={I}"	U
"299"	"imacr"	"i"	"\={i}"	L
"300"	"Ibreve"	"I"	"\u{I}"	U
"301"	"ibreve"	"i"	"\u{i}"	L
"302"	"Iogon"	"I"	"\c{I}"	U
"303"	"iogon"	"i"	"\c{i}"	L
"304"	"Idot"	"I"	"\.{I}"	U
"305"	"inodot"	"i"	"\i"	L
"306"	"IJlig"	"IJ"	"IJ"	U
"307"	"ijlig"	"ij"	"ij"	L
"308"	"Jcirc"	"J"	"\^{J}"	U
"309"	"jcirc"	"j"	"\^{j}"	L
"310"	"Kcedil"	"K"	"\c{K}"	U
"311"	"kcedil"	"k"	"\c{k}"	L
"312"	"kgreen"	"k"	"k"	L
"313"	"Lacute"	"L"	"\'{L}"	U
"314"	"lacute"	"l"	"\'{l}"	L
"315"	"Lcedil"	"L"	"\c{L}"	U
"316"	"lcedil"	"l"	"\c{l}"	L
"317"	"Lcaron"	"L"	"\v{L}"	U
"318"	"lcaron"	"l"	"\v{l}"	L
"319"	"Lmidot"	"L"	"L"	U
"320"	"lmidot"	"l"	"l"	L
"321"	"Lstrok"	"L"	"\L"	U
"322"	"lstrok"	"l"	"\l"	L
"323"	"Nacute"	"N"	"\'{N}"	U
"324"	"nacute"	"n"	"\'{n}"	L
"325"	"Ncedil"	"N"	"\c{N}"	U
"326"	"ncedil"	"n"	"\c{n}"	L
"327"	"Ncaron"	"N"	"\v{N}"	U
"328"	"ncaron"	"n"	"\v{n}"	L
"329"	"napos"	"n"	"\'{n}"	L
"330"	"ENG"	"E"	"E"	U
"331"	"eng"	"e"	"e"	L
"332"	"Omacr"	"O"	"\={O}"	U
"333"	"omacr"	"o"	"\={o}"	L
"334"	"Obreve"	"O"	"\u{O}"	U
"335"	"obreve"	"o"	"\u{o}"	L
"336"	"Odblac"	"O"	"\H{O}"	U
"337"	"odblac"	"o"	"\H{o}"	L
"338"	"OElig"	"OE"	"\OE"	U
"339"	"oelig"	"oe"	"\oe"	L
"340"	"Racute"	"R"	"\'{R}"	U
"341"	"racute"	"r"	"\'{r}"	L
"342"	"Rcedil"	"R"	"\c{R}"	U
"343"	"rcedil"	"r"	"\c{r}"	L
"344"	"Rcaron"	"R"	"\v{R}"	U
"345"	"rcaron"	"r"	"\v{r}"	L
"346"	"Sacute"	"S"	"\'{S}"	U
"347"	"sacute"	"s"	"\'{s}"	L
"348"	"Scirc"	"S"	"\^{S}"	U
"349"	"scirc"	"s"	"\^{s}"	L
"350"	"Scedil"	"S"	"\c{S}"	U
"351"	"scedil"	"s"	"\c{s}"	L
"352"	"Scaron"	"S"	"\v{S}"	U
"353"	"scaron"	"s"	"\v{s}"	L
"354"	"Tcedil"	"T"	"\c{T}"	U
"355"	"tcedil"	"t"	"\c{t}"	L
"356"	"Tcaron"	"T"	"\v{T}"	U
"357"	"tcaron"	"t"	"\v{t}"	L
"358"	"Tstrok"	"T"	"\T"	U
"359"	"tstrok"	"t"	"\t"	L
"360"	"Utilde"	"U"	"\~{U}"	U
"361"	"utilde"	"u"	"\~{u}"	L
"362"	"Umacr"	"U"	"\={U}"	U
"363"	"umacr"	"u"	"\={u}"	L
"364"	"Ubreve"	"U"	"\u{U}"	U
"365"	"ubreve"	"u"	"\u{u}"	L
"366"	"Uring"	"U"	"\UU"	U
"367"	"uring"	"u"	"\uu"	L
